order_id,user_id,order_date,order_status,total_amount
O00013120,U005586,2025-11-03 10:44:40.582896,Returned,344.32
O00013119,U000201,2025-03-13 12:19:09.903847,Cancelled,2389.88
O00013118,U000411,2024-02-15 05:06:56.292187,Completed,484.26
O00013116,U001859,2024-02-13 11:12:45.749857,Cancelled,3.45
O00013115,U007982,2024-07-17 04:09:42.693323,Shipped,316.56
O00013113,U000801,2025-02-24 11:11:09.337454,Completed,278.82
O00013112,U007785,2024-12-01 18:46:26.606968,Returned,2331.22
O00013111,U006968,2024-08-22 04:31:42.179579,Cancelled,3.61
O00013169,U003265,2024-08-28 02:03:06.287139,Returned,221.26
O00013171,U005729,2025-06-25 05:39:42.465833,Completed,1493.98
O00013255,U001177,2024-04-02 15:31:49.583402,Returned,86.76
O00013234,U005841,2024-12-25 07:14:03.717016,Completed,864.94
O00013231,U004983,2024-11-16 03:38:45.285340,Completed,373.1
O00013230,U001061,2024-12-11 12:05:26.597810,Returned,124.91
O00013229,U005482,2025-09-04 13:04:16.969684,Completed,540.33
O00013228,U000687,2025-08-17 21:04:44.194452,Completed,20.15
O00013227,U001785,2024-08-09 12:07:32.120042,Shipped,1236.76
O00013226,U009048,2024-11-24 12:44:42.979491,Cancelled,108.65
O00013225,U008836,2025-02-28 09:00:15.037060,Cancelled,130.83
O00013224,U000457,2025-05-27 16:33:46.914690,Cancelled,441.53
O00013223,U006330,2025-09-07 13:19:11.031779,Completed,235.77
O00013222,U009857,2025-01-17 17:44:42.859658,Shipped,1004.12
O00013221,U008107,2024-06-29 13:53:10.895849,Shipped,347.86
O00013219,U008254,2024-06-18 18:55:19.520381,Returned,88.76
O00013218,U005553,2025-09-23 10:50:47.929392,Processing,2373.36
O00013217,U001509,2024-07-06 23:52:11.130804,Cancelled,182.11
O00013216,U000474,2024-07-20 14:14:27.967617,Shipped,233.7
O00013232,U006092,2024-07-10 03:48:25.427084,Processing,238.53
O00013235,U007516,2025-09-14 05:33:34.452213,Shipped,668.73
O00013214,U005215,2025-03-06 18:53:01.461296,Processing,136.74
O00013236,U008152,2024-03-02 09:45:16.858141,Completed,2731.04
O00013253,U000767,2025-03-10 17:12:06.461612,Completed,20.94
O00013252,U001658,2025-07-05 14:51:24.027379,Shipped,73.64
O00013251,U005417,2025-05-10 15:19:34.587735,Processing,759.01
O00013250,U004048,2024-01-08 17:36:36.671178,Returned,139.75
O00013249,U002657,2025-10-09 09:59:12.312945,Cancelled,537.14
O00013248,U007577,2025-09-28 11:33:03.443020,Shipped,1298.89
O00013247,U006926,2024-04-24 09:30:51.674828,Shipped,40.71
O00013246,U004554,2025-05-18 00:37:20.715594,Returned,124.68
O00013244,U009679,2024-01-12 14:25:12.736023,Cancelled,68.43
O00013242,U004056,2024-02-25 00:28:45.122962,Cancelled,618.08
O00013241,U000542,2024-12-09 17:21:34.507722,Shipped,620.06
O00013240,U001200,2025-06-28 10:39:46.577403,Processing,72.71
O00013239,U003830,2025-06-19 18:42:43.852127,Processing,297.74
O00013238,U008494,2024-07-03 08:10:55.509752,Completed,404.92
O00013237,U001829,2024-11-25 10:07:53.939028,Returned,43.01
O00013215,U009127,2024-02-08 03:37:31.565880,Shipped,4115.1
O00013213,U004801,2024-01-16 00:05:41.473158,Processing,1505.83
O00013172,U004424,2024-02-27 03:51:20.808435,Returned,290.39
O00013194,U003688,2025-01-18 12:05:14.233732,Cancelled,40.64
O00013192,U009840,2024-04-20 13:44:33.631112,Returned,1378.97
O00013191,U004668,2024-11-05 11:55:09.473530,Completed,251.5
O00013189,U002628,2024-05-09 14:09:39.727164,Shipped,1613.8
O00013188,U004473,2024-05-20 05:51:37.638943,Returned,
O00013187,U005375,2024-09-12 17:45:28.445407,Shipped,531.53
O00013186,U005995,2025-06-29 19:09:01.860048,Processing,200.84
O00013185,U004445,2025-03-29 12:17:10.356167,Shipped,139.3
O00013184,U005431,2024-08-09 22:20:54.591611,Processing,80.33
O00013181,U005451,2025-07-13 22:57:28.258103,Shipped,426.42
O00013180,U004099,2024-05-19 07:54:42.318475,Completed,152.1
O00013179,U009718,2024-09-19 12:29:32.955226,Completed,1495.59
O00013177,U000989,2024-04-19 03:58:50.016456,Shipped,15.21
O00013176,U003678,2025-06-05 04:58:35.768547,Cancelled,282.51
O00013174,U002651,2025-04-27 07:48:20.335629,Shipped,4978.39
O00013173,U008126,2024-03-20 22:57:47.915390,Cancelled,643.14
O00013193,U009883,2024-09-08 17:26:52.453434,Shipped,70.32
O00013195,U006357,2025-08-16 11:29:47.089734,Returned,222.74
O00013212,U006126,2025-07-26 22:05:09.571944,Processing,596.15
O00013196,U001028,2024-07-20 18:02:49.085268,Processing,678.54
O00013211,U002073,2025-03-19 01:12:18.966553,Shipped,943.41
O00013210,U003929,2024-02-18 10:44:34.157661,Shipped,79.6
O00013209,U006565,2025-06-19 20:13:56.779778,Shipped,1892.57
O00013208,U009246,2025-01-29 13:12:23.819322,Returned,2897.95
O00013207,U008098,2025-09-10 09:51:04.966852,Cancelled,335.0
O00013206,U001417,2024-01-28 13:03:14.122186,Returned,65.3
O00013205,U000127,2024-02-07 19:42:35.246804,Cancelled,3975.71
O00013204,U003426,2024-06-11 03:06:33.693747,Returned,441.37
O00013203,U007479,2025-03-23 05:13:13.588008,Shipped,63.38
O00013202,U006203,2024-03-24 01:41:40.754742,Cancelled,564.72
O00013201,U009679,2024-01-11 11:18:57.402999,Returned,41.36
O00013200,U005464,2025-01-09 09:24:57.235274,Processing,20.84
O00013199,U006028,2025-10-23 21:10:15.461122,Processing,2002.61
O00013198,U005832,2024-04-08 05:26:26.828930,Shipped,249.53
O00013197,U008648,2025-01-28 10:05:37.951964,Returned,79.36
O00013090,U004592,2024-10-22 18:38:24.814639,Completed,380.44
O00013089,U004821,2025-05-09 02:21:08.578824,Cancelled,305.0
O00013088,U006173,2025-11-09 07:59:09.720500,Processing,22.53
O00012991,U009279,2024-07-01 04:20:44.568799,Cancelled,110.18
O00012989,U004452,2024-06-07 10:26:55.669882,Cancelled,252.58
O00012988,U008940,2025-04-05 11:48:35.818335,Returned,110.43
O00012987,U006648,2025-01-12 08:28:34.725920,Completed,539.17
O00012986,U003768,2024-03-11 14:41:52.192039,Shipped,1352.36
O00012985,U006012,2024-01-10 12:43:06.840350,Processing,393.93
O00012984,U006457,2024-02-14 22:01:26.253872,Completed,329.78
O00012983,U004802,2024-10-22 12:01:03.291308,Cancelled,1560.63
O00012982,U002281,2025-10-28 22:17:13.912340,Returned,177.92
O00012981,U001625,2024-05-02 05:53:51.822802,Shipped,658.61
O00012980,U000564,2024-09-22 21:02:16.789051,Shipped,5717.67
O00012979,U003481,2024-09-09 17:10:22.264904,Completed,374.84
O00012978,U001279,2025-01-06 16:15:43.270640,Returned,2177.9
O00012976,U004842,2025-09-21 16:41:27.181620,Completed,94.4
O00012975,U002152,2025-06-18 12:02:16.206820,Completed,52.66
O00012974,U001343,2025-01-30 12:09:03.070414,Processing,245.34
O00012990,U000384,2025-02-19 12:06:32.777012,Processing,1042.63
O00012992,U000403,2024-08-03 20:33:29.722898,Completed,19.09
O00012972,U004528,2024-05-27 01:06:57.480977,Returned,137.64
O00012993,U007863,2025-06-03 10:30:52.298799,Shipped,224.01
O00013008,U006710,2025-08-14 21:11:52.774952,Completed,25.99
O00013007,U006503,2025-06-07 07:18:41.128324,Shipped,599.32
O00013006,U005350,2025-10-28 21:55:18.674027,Completed,52.14
O00013005,U004059,2025-08-11 22:48:42.271580,Shipped,321.92
O00013004,U001385,2024-01-07 07:51:52.764591,Completed,339.38
O00013003,U003700,2024-10-01 20:19:00.900784,Completed,700.04
O00013002,U007030,2024-03-24 06:18:41.667904,Shipped,2009.56
O00013001,U004502,2025-01-04 18:34:45.945910,Returned,498.93
O00013000,U000444,2025-08-28 18:01:50.184045,Returned,967.83
O00012999,U004177,2025-03-28 23:45:08.274623,Shipped,236.37
O00012998,U003817,2025-10-06 07:05:09.274498,Returned,279.09
O00012997,U007627,2025-02-24 13:11:05.511560,Cancelled,666.8
O00012996,U006469,2024-11-22 00:54:25.121035,Cancelled,2572.37
O00012995,U008283,2024-04-15 15:14:07.892641,Cancelled,155.86
O00012994,U003204,2025-05-03 03:02:24.961060,Shipped,1090.83
O00012973,U000997,2024-06-27 14:06:05.429179,Cancelled,494.94
O00012970,U001979,2024-06-17 06:38:47.922988,Cancelled,1113.21
O00013087,U007632,2024-11-18 21:06:23.196337,Processing,363.12
O00012950,U001406,2024-11-09 00:20:50.831836,Cancelled,710.02
O00012948,U007717,2025-07-02 07:29:57.849681,Shipped,260.87
O00012947,U004858,2024-03-12 07:30:56.095771,Completed,176.71
O00012946,U007268,2025-05-28 10:26:58.896815,Completed,1874.69
O00012945,U007518,2024-04-29 23:52:31.622757,Shipped,10.62
O00012944,U009732,2025-06-09 11:06:17.798469,Returned,40.0
O00012943,U006755,2024-08-06 00:07:07.837226,Shipped,18.5
O00012942,U003950,2025-08-30 23:29:10.924705,Shipped,1466.77
O00012941,U006011,2025-10-12 06:29:30.237250,Shipped,160.18
O00012940,U000701,2024-10-18 14:36:32.150568,Completed,56.87
O00012939,U001208,2024-04-22 23:06:43.548711,Shipped,1477.45
O00012937,U005087,2025-03-06 20:02:13.269746,Returned,159.54
O00012936,U008412,2025-09-30 15:51:03.358701,Processing,33.11
O00012935,U009873,2024-07-06 16:52:48.812457,Shipped,119.52
O00012934,U003755,2025-08-30 10:57:41.700622,Completed,1859.46
O00012933,U007034,2025-03-16 21:47:11.741485,Processing,181.71
O00012949,U005023,2024-05-05 21:52:24.222193,Processing,1777.98
O00012951,U008505,2025-04-23 15:45:54.497060,Returned,797.86
O00012969,U001180,2025-06-24 20:44:46.553660,Cancelled,1.78
O00012953,U004243,2025-04-21 00:18:27.699908,Shipped,1161.9
O00012968,U002645,2025-05-14 06:47:07.025290,Processing,807.17
O00012967,U008517,2024-08-12 23:01:43.839265,Completed,461.08
O00012966,U007031,2025-10-11 14:36:34.895981,Shipped,1187.92
O00012965,U001288,2024-11-07 23:30:13.251263,Completed,250.04
O00012964,U009233,2024-07-29 17:37:27.970577,Completed,2294.51
O00012963,U002606,2024-06-03 10:59:15.457988,Completed,854.84
O00012962,U007506,2025-01-19 19:34:50.372710,Cancelled,1063.49
O00012961,U003347,2025-04-25 04:50:33.328016,Completed,2256.52
O00012960,U004957,2024-03-16 07:04:23.671259,Cancelled,106.93
O00012959,U002822,2024-03-24 11:09:15.142176,Processing,134.03
O00012958,U000597,2025-06-19 21:55:13.548604,Completed,56.65
O00012957,U009176,2024-07-13 00:30:56.111258,Cancelled,46.93
O00012956,U006060,2025-04-25 09:24:38.428413,Returned,407.98
O00012955,U003082,2025-05-22 07:04:07.283527,Shipped,392.65
O00012954,U002841,2025-06-10 22:38:44.359665,Returned,214.33
O00013009,U004375,2025-08-08 00:20:31.042212,Shipped,33.29
O00013010,U008103,2024-06-29 23:43:21.393153,Shipped,1286.75
O00013011,U005994,2024-11-28 00:43:22.575215,Cancelled,394.37
O00013068,U007567,2024-04-23 00:11:51.074173,Shipped,419.31
O00013066,U001490,2025-06-23 17:57:40.099114,Processing,372.8
O00013065,U001530,2024-07-08 15:04:28.813451,Processing,314.74
O00013064,U003576,2025-09-12 00:00:36.382271,Processing,1047.18
O00013063,U001811,2025-11-05 01:25:46.657939,Processing,1413.34
O00013062,U007110,2024-11-15 09:54:53.275372,Completed,20.74
O00013061,U003277,2025-06-11 10:36:20.841677,Completed,830.55
O00013060,U008163,2025-03-10 12:15:52.558990,Processing,626.91
O00013059,U006117,2024-05-06 12:16:25.087225,Shipped,597.82
O00013058,U009827,2025-01-06 14:13:18.836717,Returned,398.22
O00013057,U008644,2025-05-20 11:10:18.023536,Processing,1389.04
O00013055,U007759,2025-05-01 06:37:54.320246,Shipped,380.28
O00013054,U001197,2025-04-25 03:20:17.593089,Shipped,1463.26
O00013053,U000737,2024-08-12 02:58:09.661405,Cancelled,4994.42
O00013052,U001608,2024-05-21 14:44:46.280420,Cancelled,554.78
O00013051,U008491,2024-04-28 12:11:53.112183,Completed,282.05
O00013067,U001975,2025-02-08 04:09:04.320287,Cancelled,8.47
O00013070,U005732,2024-01-02 14:35:56.306506,Returned,36.32
O00013013,U000136,2024-02-22 04:55:27.000279,Shipped,363.5
O00013071,U000690,2024-05-21 02:55:55.535262,Processing,182.42
O00013086,U005300,2025-08-23 08:08:11.667953,Returned,676.98
O00013085,U009190,2024-10-03 04:47:50.055293,Completed,1855.58
O00013084,U005473,2025-10-04 18:26:17.538780,Cancelled,494.84
O00013083,U001056,2024-11-03 19:55:31.437174,Returned,2181.05
O00013082,U007117,2025-08-29 09:57:16.538589,Cancelled,119.83
O00013081,U006559,2025-09-03 00:10:53.169038,Cancelled,149.22
O00013080,U007269,2024-10-25 03:12:19.370567,Returned,273.47
O00013079,U001415,2024-05-04 11:40:18.624302,Returned,2484.27
O00013078,U006651,2025-08-08 22:19:26.663773,Completed,626.45
O00013077,U008166,2024-02-06 09:24:44.334967,Processing,225.2
O00013076,U000796,2024-04-23 16:47:10.206647,Completed,236.66
O00013075,U005139,2024-06-12 03:21:42.201107,Cancelled,271.14
O00013074,U000671,2024-12-24 22:37:52.099007,Cancelled,1001.67
O00013073,U002904,2024-09-18 02:14:24.937019,Returned,50.58
O00013072,U005587,2024-01-07 15:51:12.873343,Shipped,893.72
O00013050,U000169,2025-02-01 05:37:40.083832,Processing,643.41
O00013049,U003790,2024-06-22 15:22:13.036285,Shipped,951.84
O00013048,U001814,2025-04-01 11:16:13.004635,Returned,10.29
O00013047,U004162,2024-02-24 08:47:13.646773,Shipped,180.71
O00013028,U006706,2024-10-26 22:45:32.488092,Completed,229.32
O00013027,U005032,2025-07-01 10:20:48.130978,Processing,316.62
O00013026,U009711,2024-07-16 19:36:41.510984,Cancelled,561.75
O00013025,U009521,2025-04-13 06:27:16.068567,Shipped,48.64
O00013024,U007855,2025-04-24 05:17:08.141628,Completed,316.08
O00013023,U003508,2025-08-02 12:39:23.366577,Completed,28.77
O00013022,U009487,2024-09-13 22:10:43.739737,Completed,150.0
O00013021,U009729,2025-04-23 07:18:12.045182,Processing,251.28
O00013020,U003263,2025-10-14 08:07:22.471607,Completed,18.76
O00013019,U001856,2024-07-28 20:12:27.601299,Returned,43.11
O00013018,U000031,2024-04-25 00:59:56.755420,Completed,1104.67
O00013017,U003694,2024-09-27 01:07:38.460401,Cancelled,1017.35
O00013016,U004124,2025-04-23 14:03:39.524805,Processing,21.91
O00013015,U000220,2024-11-30 22:40:24.745741,Processing,815.49
O00013014,U008661,2024-10-06 01:36:20.789986,Processing,119.92
O00013029,U004360,2024-01-20 21:46:13.514295,Processing,31.04
O00013030,U007302,2024-02-25 19:13:17.162211,Returned,165.32
O00013031,U002003,2024-07-06 20:58:43.623929,Shipped,2337.85
O00013040,U002671,2024-06-18 11:24:08.475008,Shipped,110.71
O00013046,U001366,2025-02-08 04:45:07.252318,Returned,1114.88
O00013045,U006517,2025-02-10 19:22:19.069895,Processing,18.65
O00013044,U007961,2025-11-09 10:34:26.290067,Returned,887.06
O00013043,U005872,2024-10-13 10:21:07.006914,Shipped,612.07
O00013042,U003781,2024-11-07 10:56:42.214801,Shipped,259.15
O00013041,U000324,2024-07-03 20:56:42.427838,Returned,283.07
O00013039,U006516,2024-03-08 11:48:12.246065,Returned,3064.32
O00013032,U002533,2025-01-19 08:27:00.393269,Processing,372.55
O00013038,U004961,2024-10-13 22:16:48.003854,Completed,97.72
O00013037,U007727,2025-06-27 07:04:39.376055,Shipped,254.51
O00013036,U000793,2024-03-14 04:40:52.278089,Completed,1193.97
O00013035,U009950,2025-05-07 01:45:14.020907,Completed,367.05
O00013034,U006859,2024-04-28 01:35:04.085306,Completed,631.36
O00013033,U004906,2024-12-05 22:02:42.216304,Processing,4143.52
O00013254,U002388,2025-08-28 09:04:44.878658,Completed,5.11
O00013256,U005106,2024-10-16 22:53:17.938541,Processing,233.2
O00012280,U008788,2025-01-07 05:21:07.150293,Processing,296.11
O00013482,U007962,2024-10-17 10:19:19.025926,Completed,716.43
O00013480,U008606,2024-02-18 07:08:43.819691,Processing,1743.84
O00013479,U006285,2025-08-30 06:40:29.118695,Returned,431.12
O00013478,U003374,2024-08-29 21:36:03.211924,Returned,167.23
O00013477,U004547,2024-08-20 09:35:38.237840,Processing,
O00013476,U000630,2024-06-18 02:16:37.294546,Returned,930.98
O00013475,U005561,2024-03-03 09:20:13.101508,Cancelled,97.91
O00013474,U009230,2025-01-04 21:07:51.468982,Processing,1763.77
O00013472,U000955,2025-08-17 14:52:32.991284,Cancelled,318.23
O00013471,U008036,2025-03-13 03:27:59.079931,Completed,110.88
O00013470,U004464,2025-05-14 21:53:54.061129,Processing,359.41
O00013469,U002233,2024-04-22 13:12:07.559260,Cancelled,3553.06
O00013468,U009511,2024-04-21 18:41:38.521196,Shipped,2763.0
O00013467,U006859,2025-04-24 22:01:16.935618,Returned,489.99
O00013466,U009652,2025-07-31 19:31:54.349789,Completed,1080.54
O00013465,U002296,2024-08-11 04:43:46.084535,Completed,177.51
O00013481,U009867,2024-02-16 07:01:41.780284,Completed,330.06
O00013483,U006159,2025-04-16 05:51:12.195354,Cancelled,1189.18
O00013462,U003319,2025-10-01 16:26:37.624996,Completed,386.64
O00013484,U009989,2024-11-01 09:11:44.580966,Shipped,268.2
O00013499,U009505,2024-07-07 21:38:44.069149,Completed,284.34
O00013498,U009819,2024-03-22 19:16:17.855455,Processing,152.33
O00013497,U003899,2024-04-06 23:00:57.868070,Completed,1551.04
O00013496,U005901,2025-02-11 16:47:49.297070,Processing,165.1
O00013495,U001892,2024-07-20 02:54:29.907266,Cancelled,2158.15
O00013494,U001102,2024-02-28 15:27:56.939260,Returned,332.33
O00013493,U009146,2025-05-07 23:19:12.883018,Processing,103.21
O00013492,U001518,2024-09-03 04:19:19.272144,Shipped,228.8
O00013491,U001469,2025-10-29 10:28:38.938303,Returned,177.91
O00013490,U007146,2024-06-17 10:01:14.557914,Completed,64.12
O00013489,U003324,2024-03-27 04:30:13.384841,Shipped,58.52
O00013488,U005550,2024-05-09 09:28:47.514763,Shipped,108.39
O00013487,U008044,2024-02-24 19:59:20.989790,Cancelled,181.12
O00013486,U008671,2024-06-23 07:40:03.226159,Completed,407.44
O00013485,U000413,2025-05-03 06:42:29.815902,Shipped,199.05
O00013464,U008395,2025-05-26 22:26:41.750330,Completed,213.15
O00013460,U008525,2025-10-22 15:08:48.937920,Returned,626.95
O00013501,U005444,2025-06-29 00:26:48.968641,Returned,1069.84
O00013440,U000145,2024-05-02 14:56:59.719238,Returned,390.56
O00013438,U004723,2024-07-14 01:28:02.065662,Cancelled,1680.02
O00013437,U002115,2024-04-11 20:37:03.094848,Processing,233.8
O00013436,U006908,2024-11-20 02:25:59.452875,Returned,1017.65
O00013435,U008614,2025-11-07 10:31:20.653373,Processing,1468.14
O00013434,U004165,2025-01-18 18:20:25.575264,Returned,1924.14
O00013433,U000056,2024-10-02 07:54:34.765385,Cancelled,72.18
O00013432,U005278,2024-07-24 13:14:24.379946,Cancelled,31.39
O00013431,U001918,2025-04-29 10:52:57.652600,Processing,615.84
O00013430,U002402,2025-01-22 21:10:46.104930,Shipped,835.5
O00013429,U003744,2024-06-18 08:27:10.588688,Completed,377.31
O00013428,U000312,2024-03-06 16:28:16.380167,Shipped,32.96
O00013427,U006685,2024-09-21 10:21:32.370140,Shipped,1298.33
O00013426,U006790,2025-09-07 12:20:31.832547,Cancelled,400.81
O00013425,U003909,2025-10-31 23:10:50.651239,Completed,1077.36
O00013424,U008572,2025-11-03 20:38:35.180358,Cancelled,562.67
O00013439,U006749,2024-07-02 12:45:59.183834,Cancelled,67.54
O00013441,U008038,2025-10-11 06:01:59.867652,Returned,1364.57
O00013459,U007881,2024-04-30 23:36:16.335477,Completed,172.88
O00013442,U007316,2024-06-23 03:59:55.658012,Cancelled,257.28
O00013458,U006091,2024-05-10 09:09:37.954502,Shipped,39.98
O00013457,U000116,2024-03-05 05:16:36.790247,Returned,96.9
O00013456,U001357,2025-05-06 10:23:29.221148,Returned,27.47
O00013455,U009168,2025-02-10 19:29:38.487187,Shipped,233.6
O00013454,U007590,2025-06-29 19:23:53.324397,Shipped,417.57
O00013453,U007244,2024-11-18 17:23:34.236105,Completed,56.44
O00013452,U000038,2025-03-07 02:12:50.860681,Returned,143.52
O00013450,U005724,2024-08-28 21:15:41.276014,Returned,1297.72
O00013449,U000649,2025-01-14 12:17:05.667444,Cancelled,509.55
O00013448,U003540,2025-11-09 18:31:43.482013,Completed,252.1
O00013447,U007053,2024-02-27 00:03:03.718091,Shipped,2420.82
O00013446,U002808,2024-11-02 10:16:48.835426,Completed,272.28
O00013445,U005492,2025-02-03 18:24:30.380114,Processing,1019.97
O00013444,U009804,2025-06-17 07:34:14.289759,Processing,2218.59
O00013443,U007491,2024-09-24 21:04:36.915296,Returned,188.96
O00013500,U003127,2025-04-08 05:21:00.652260,Shipped,764.9
O00013502,U001241,2025-04-07 01:13:28.097834,Returned,2095.37
O00013257,U008231,2025-10-03 21:48:54.515177,Returned,1452.17
O00013563,U003506,2024-08-28 05:04:41.338003,Completed,755.4
O00013561,U003439,2025-03-08 18:29:53.891766,Processing,938.58
O00013560,U006409,2025-04-26 13:32:29.981051,Processing,49.08
O00013559,U008714,2025-01-06 13:11:01.598050,Processing,210.85
O00013558,U005617,2024-06-28 10:55:56.469305,Completed,68.33
O00013557,U002102,2025-07-23 15:21:03.222389,Completed,397.67
O00013556,U002038,2024-02-13 07:55:52.597816,Processing,236.97
O00013555,U003154,2025-04-13 13:32:05.983574,Processing,456.31
O00013554,U002059,2025-08-08 17:35:47.115419,Returned,5.98
O00013553,U009396,2025-06-05 11:17:12.656965,Completed,664.33
O00013551,U008637,2024-10-08 18:28:21.606038,Completed,1391.14
O00013550,U003753,2025-11-08 03:07:33.158775,Completed,91.84
O00013549,U001161,2024-05-29 19:52:04.525176,Shipped,1495.26
O00013548,U004720,2024-04-30 01:07:57.912990,Cancelled,330.05
O00013546,U005987,2024-02-17 17:51:27.747507,Returned,3499.63
O00013544,U007614,2024-12-09 11:42:26.691915,Processing,124.34
O00013562,U002814,2025-10-25 20:02:10.666273,Completed,
O00013564,U006406,2024-01-20 00:09:09.620626,Cancelled,109.96
O00013542,U006668,2024-03-07 10:54:20.033093,Cancelled,65.6
O00013565,U004582,2024-07-17 08:08:44.976850,Completed,20.09
O00013583,U001922,2024-06-24 09:30:44.793081,Completed,252.09
O00013582,U009808,2024-06-09 18:23:19.034579,Completed,66.78
O00013580,U007354,2025-03-03 05:35:25.275975,Completed,236.34
O00013579,U001903,2025-03-08 02:49:31.140950,Cancelled,493.96
O00013578,U004669,2024-09-24 05:02:07.340267,Completed,112.57
O00013577,U007089,2024-07-20 07:56:09.164070,Cancelled,630.83
O00013576,U005855,2024-01-12 12:25:15.572671,Cancelled,33.02
O00013574,U000786,2025-05-02 01:59:12.448953,Processing,48.22
O00013573,U009007,2025-09-18 16:43:20.188542,Shipped,253.56
O00013572,U006161,2024-03-29 09:55:13.361370,Processing,394.21
O00013571,U009859,2024-10-14 17:11:48.025945,Cancelled,646.02
O00013570,U004108,2025-01-16 20:50:39.367702,Processing,377.51
O00013569,U007892,2024-03-03 19:02:32.231998,Shipped,1261.84
